"map_version","operation","entity","support_allowed","actual_result","reject_codes","json_paths","affected_refs"
"dalian_v02","zone_boundary","Z_DL_DOCK","true","changed","","","zones/Z_DL_DOCK;sources/source_editor_geometry"
"dalian_v02","road_direction","R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_78f5d09878b6",""
"dalian_v02","boundary","F_DL027","true","changed","","","facilities/F_DL027;sources/source_editor_geometry"
"dalian_v02","boundary_translate","facilities/F_DL027","true","changed","","","facilities/F_DL027;sources/source_editor_geometry"
"dalian_v02","boundary_rotate","facilities/F_DL027","true","changed","","","facilities/F_DL027;sources/source_editor_geometry"
"dalian_v02","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v02","copy_boundary","facilities/F_DL027","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v02","delete_boundary","facilities/F_DL027","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v02","split_road","R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"dalian_v02","no_op_boundary","F_DL027","true","no_op","","",""
"dalian_v02","road_widthM_design_assumption","R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_78f5d09878b6",""
"dalian_v02","road_heightLimitM_design_assumption","R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_78f5d09878b6",""
"dalian_v02","road_massLimitKg_design_assumption","R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_78f5d09878b6",""
"dalian_v02","road_speedLimitMps_design_assumption","R_MR_78f5d09878b6","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_78f5d09878b6",""
"geoje_v01","name_only_not_geometry","F_GJ002","true","changed","","","facilities/F_GJ002"
"geoje_v01","node_position","N_GJ_98578c20a5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_GJ_98578c20a5",""
"geoje_v01","node_translate","nodes/N_GJ_98578c20a5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v01","road_translate","roads/R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v01","road_shapePoints","R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_GJ_f5b5b6d617",""
